filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,788,[788],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,789,[789],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,818,[818],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,830,[830],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,877,[877],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,891,[891],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,956,[956],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,982,[982],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,1055,[1055],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,1067,[1067],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,1076,[1076],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,1083,[1083],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,1086,[1086],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,1093,[1093],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_ftplib.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,1100,[1100],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
cpython\Lib\test\test_httpservers.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o777 on file (NOT PARSED).,642,[642],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\test\test_httpservers.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o777 on file (NOT PARSED).,647,[647],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\test\test_httpservers.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o777 on file (NOT PARSED).,652,[652],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\test\test_httpservers.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o777 on file (NOT PARSED).,657,[657],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\test\test_httpservers.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o777 on file (NOT PARSED).,662,[662],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\test\test_httpservers.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o777 on file (NOT PARSED).,667,[667],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\test\test_netrc.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o622 on file (fn).,127,[127],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\test\test_os.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",244,"[240, 241, 242, 243, 244]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\test\test_os.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",865,[865],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\test\test_os.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",872,"[872, 873]",https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\test\test_os.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",1040,[1040],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\test\test_pathlib.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o777 on file (NOT PARSED).,1349,[1349],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\test\test_poll.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",125,"[125, 126]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\test\test_popen.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",24,[24],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\test\test_select.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",49,[49],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
cpython\Lib\test\test_shutil.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o777 on file (src_dir).,632,[632],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\test\test_shutil.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o777 on file (NOT PARSED).,634,[634],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\test\test_stat.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o7 on file (TESTFN).,133,[133],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\test\test_subprocess.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",1619,[1619],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\test\test_subprocess.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",2217,"[2217, 2218, 2219]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\test\test_subprocess.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",2636,[2636],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\test\test_subprocess.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",3402,"[3402, 3403, 3404]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
cpython\Lib\test\test_support.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",320,[320],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\test\test_telnetlib.py,blacklist,B401,HIGH,HIGH,A telnet-related module is being imported.  Telnet is considered insecure. Use SSH or some other encrypted protocol.,3,[3],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b401-import-telnetlib
cpython\Lib\test\test_telnetlib.py,blacklist,B312,HIGH,HIGH,Telnet-related functions are being called. Telnet is considered insecure. Use SSH or some other encrypted protocol.,42,[42],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b312-telnetlib
cpython\Lib\test\test_telnetlib.py,blacklist,B312,HIGH,HIGH,Telnet-related functions are being called. Telnet is considered insecure. Use SSH or some other encrypted protocol.,46,[46],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b312-telnetlib
cpython\Lib\test\test_telnetlib.py,blacklist,B312,HIGH,HIGH,Telnet-related functions are being called. Telnet is considered insecure. Use SSH or some other encrypted protocol.,54,[54],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b312-telnetlib
cpython\Lib\test\test_telnetlib.py,blacklist,B312,HIGH,HIGH,Telnet-related functions are being called. Telnet is considered insecure. Use SSH or some other encrypted protocol.,65,[65],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b312-telnetlib
cpython\Lib\test\test_telnetlib.py,blacklist,B312,HIGH,HIGH,Telnet-related functions are being called. Telnet is considered insecure. Use SSH or some other encrypted protocol.,72,[72],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b312-telnetlib
cpython\Lib\test\test_telnetlib.py,blacklist,B312,HIGH,HIGH,Telnet-related functions are being called. Telnet is considered insecure. Use SSH or some other encrypted protocol.,77,[77],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b312-telnetlib
cpython\Lib\test\test_telnetlib.py,blacklist,B312,HIGH,HIGH,Telnet-related functions are being called. Telnet is considered insecure. Use SSH or some other encrypted protocol.,84,[84],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b312-telnetlib
cpython\Lib\test\test_telnetlib.py,blacklist,B312,HIGH,HIGH,Telnet-related functions are being called. Telnet is considered insecure. Use SSH or some other encrypted protocol.,115,[115],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b312-telnetlib
cpython\Lib\test\test_unicode_file.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o777 on file (filename).,39,[39],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\test\test_urllib2.py,blacklist,B402,HIGH,HIGH,A FTP-related module is being imported.  FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,725,[725],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b402-import-ftplib
cpython\Lib\test\test_winconsoleio.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",135,[135],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
cpython\Lib\test\test_zipimport.py,set_bad_file_permissions,B103,HIGH,HIGH,Chmod setting a permissive mask 0o666 on file (TESTMOD).,729,[729],https://bandit.readthedocs.io/en/latest/plugins/b103_set_bad_file_permissions.html
cpython\Lib\urllib\request.py,blacklist,B402,HIGH,HIGH,A FTP-related module is being imported.  FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,1527,[1527],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b402-import-ftplib
